system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,spacecraft,system_index,ee_image_asset
20231216T105349_20231216T105350_T30SXF,0.323078,20231216,20231216T105349_20231216T105350_T30SXF,2023-2024,2023-12-16,2023-12-16 | 20231216T105349_20231216T105350_T30SXF,30SXF,Sentinel-2B,20231216T105349_20231216T105350_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231216T105349_20231216T105350_T30SXF
20231216T105349_20231216T105350_T30SWF,1.166283,20231216,20231216T105349_20231216T105350_T30SWF,2023-2024,2023-12-16,2023-12-16 | 20231216T105349_20231216T105350_T30SWF,30SWF,Sentinel-2B,20231216T105349_20231216T105350_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231216T105349_20231216T105350_T30SWF
20231219T110359_20231219T110358_T30SWG,3.805169,20231219,20231219T110359_20231219T110358_T30SWG,2023-2024,2023-12-19,2023-12-19 | 20231219T110359_20231219T110358_T30SWG,30SWG,Sentinel-2B,20231219T110359_20231219T110358_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231219T110359_20231219T110358_T30SWG
20231219T110359_20231219T110358_T30SWF,0.023482,20231219,20231219T110359_20231219T110358_T30SWF,2023-2024,2023-12-19,2023-12-19 | 20231219T110359_20231219T110358_T30SWF,30SWF,Sentinel-2B,20231219T110359_20231219T110358_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231219T110359_20231219T110358_T30SWF
20231221T105441_20231221T105744_T30SXG,0.009436,20231221,20231221T105441_20231221T105744_T30SXG,2023-2024,2023-12-21,2023-12-21 | 20231221T105441_20231221T105744_T30SXG,30SXG,Sentinel-2A,20231221T105441_20231221T105744_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20231221T105441_20231221T105744_T30SXG
20231221T105441_20231221T105744_T30SWG,0.043198,20231221,20231221T105441_20231221T105744_T30SWG,2023-2024,2023-12-21,2023-12-21 | 20231221T105441_20231221T105744_T30SWG,30SWG,Sentinel-2A,20231221T105441_20231221T105744_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231221T105441_20231221T105744_T30SWG
20231221T105441_20231221T105744_T30SXF,0.035209,20231221,20231221T105441_20231221T105744_T30SXF,2023-2024,2023-12-21,2023-12-21 | 20231221T105441_20231221T105744_T30SXF,30SXF,Sentinel-2A,20231221T105441_20231221T105744_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231221T105441_20231221T105744_T30SXF
20231221T105441_20231221T105744_T30SWF,0.036456,20231221,20231221T105441_20231221T105744_T30SWF,2023-2024,2023-12-21,2023-12-21 | 20231221T105441_20231221T105744_T30SWF,30SWF,Sentinel-2A,20231221T105441_20231221T105744_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231221T105441_20231221T105744_T30SWF
20231224T110451_20231224T110449_T30SWG,0.010011,20231224,20231224T110451_20231224T110449_T30SWG,2023-2024,2023-12-24,2023-12-24 | 20231224T110451_20231224T110449_T30SWG,30SWG,Sentinel-2A,20231224T110451_20231224T110449_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231224T110451_20231224T110449_T30SWG
20231224T110451_20231224T110449_T30SWF,11.709556,20231224,20231224T110451_20231224T110449_T30SWF,2023-2024,2023-12-24,2023-12-24 | 20231224T110451_20231224T110449_T30SWF,30SWF,Sentinel-2A,20231224T110451_20231224T110449_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231224T110451_20231224T110449_T30SWF
20240103T110441_20240103T110441_T30SWF,13.14635,20240103,20240103T110441_20240103T110441_T30SWF,2023-2024,2024-01-03,2024-01-03 | 20240103T110441_20240103T110441_T30SWF,30SWF,Sentinel-2A,20240103T110441_20240103T110441_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20240103T110441_20240103T110441_T30SWF
20240105T105339_20240105T105340_T30SWF,19.518024,20240105,20240105T105339_20240105T105340_T30SWF,2023-2024,2024-01-05,2024-01-05 | 20240105T105339_20240105T105340_T30SWF,30SWF,Sentinel-2B,20240105T105339_20240105T105340_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20240105T105339_20240105T105340_T30SWF
20240108T110339_20240108T110338_T30SWG,0.97504,20240108,20240108T110339_20240108T110338_T30SWG,2023-2024,2024-01-08,2024-01-08 | 20240108T110339_20240108T110338_T30SWG,30SWG,Sentinel-2B,20240108T110339_20240108T110338_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20240108T110339_20240108T110338_T30SWG
20240108T110339_20240108T110338_T30SWF,2.750378,20240108,20240108T110339_20240108T110338_T30SWF,2023-2024,2024-01-08,2024-01-08 | 20240108T110339_20240108T110338_T30SWF,30SWF,Sentinel-2B,20240108T110339_20240108T110338_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20240108T110339_20240108T110338_T30SWF
20240123T110341_20240123T110438_T30SWG,11.875521,20240123,20240123T110341_20240123T110438_T30SWG,2023-2024,2024-01-23,2024-01-23 | 20240123T110341_20240123T110438_T30SWG,30SWG,Sentinel-2A,20240123T110341_20240123T110438_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20240123T110341_20240123T110438_T30SWG
20240125T105239_20240125T105234_T30SXG,0.065368,20240125,20240125T105239_20240125T105234_T30SXG,2023-2024,2024-01-25,2024-01-25 | 20240125T105239_20240125T105234_T30SXG,30SXG,Sentinel-2B,20240125T105239_20240125T105234_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20240125T105239_20240125T105234_T30SXG
20240125T105239_20240125T105234_T30SXF,9.62E-4,20240125,20240125T105239_20240125T105234_T30SXF,2023-2024,2024-01-25,2024-01-25 | 20240125T105239_20240125T105234_T30SXF,30SXF,Sentinel-2B,20240125T105239_20240125T105234_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20240125T105239_20240125T105234_T30SXF
20240125T105239_20240125T105234_T30SWF,9.41633,20240125,20240125T105239_20240125T105234_T30SWF,2023-2024,2024-01-25,2024-01-25 | 20240125T105239_20240125T105234_T30SWF,30SWF,Sentinel-2B,20240125T105239_20240125T105234_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20240125T105239_20240125T105234_T30SWF
20240202T110251_20240202T110440_T30SWG,0.018001,20240202,20240202T110251_20240202T110440_T30SWG,2023-2024,2024-02-02,2024-02-02 | 20240202T110251_20240202T110440_T30SWG,30SWG,Sentinel-2A,20240202T110251_20240202T110440_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20240202T110251_20240202T110440_T30SWG
20240202T110251_20240202T110440_T30SWF,3.075099,20240202,20240202T110251_20240202T110440_T30SWF,2023-2024,2024-02-02,2024-02-02 | 20240202T110251_20240202T110440_T30SWF,30SWF,Sentinel-2A,20240202T110251_20240202T110440_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20240202T110251_20240202T110440_T30SWF
