system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,product_name,product_status,product_type,spacecraft,system_index,visualization_method,ee_image_asset
48,1.952605,20160312,20160312T105042_20160312T105931_T30SXG,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SXG,30SXG,NDVI_20160312_20160312T105042_20160312T105931_T30SXG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160312T105042_20160312T105931_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SXG
49,1.952605,20160312,20160312T105042_20160312T105931_T30SXG,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SXG,30SXG,NDWI_20160312_20160312T105042_20160312T105931_T30SXG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160312T105042_20160312T105931_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SXG
50,1.952605,20160312,20160312T105042_20160312T105931_T30SXG,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SXG,30SXG,NDDI_20160312_20160312T105042_20160312T105931_T30SXG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160312T105042_20160312T105931_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SXG
51,1.952605,20160312,20160312T105042_20160312T105931_T30SXG,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SXG,30SXG,RF_Risk_Map_20160312_20160312T105042_20160312T105931_T30SXG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160312T105042_20160312T105931_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SXG
52,1.441447,20160312,20160312T105042_20160312T105931_T30SWF,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SWF,30SWF,NDVI_20160312_20160312T105042_20160312T105931_T30SWF,Indexed for Python dashboard,NDVI,Sentinel-2A,20160312T105042_20160312T105931_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SWF
53,1.441447,20160312,20160312T105042_20160312T105931_T30SWF,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SWF,30SWF,NDWI_20160312_20160312T105042_20160312T105931_T30SWF,Indexed for Python dashboard,NDWI,Sentinel-2A,20160312T105042_20160312T105931_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SWF
54,1.441447,20160312,20160312T105042_20160312T105931_T30SWF,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SWF,30SWF,NDDI_20160312_20160312T105042_20160312T105931_T30SWF,Indexed for Python dashboard,NDDI,Sentinel-2A,20160312T105042_20160312T105931_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SWF
55,1.441447,20160312,20160312T105042_20160312T105931_T30SWF,2015-2016,2016-03-12,2016-03-12 | 20160312T105042_20160312T105931_T30SWF,30SWF,RF_Risk_Map_20160312_20160312T105042_20160312T105931_T30SWF,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160312T105042_20160312T105931_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160312T105042_20160312T105931_T30SWF
56,1.295115,20160401,20160401T105022_20160401T105759_T30SXG,2015-2016,2016-04-01,2016-04-01 | 20160401T105022_20160401T105759_T30SXG,30SXG,NDVI_20160401_20160401T105022_20160401T105759_T30SXG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160401T105022_20160401T105759_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160401T105022_20160401T105759_T30SXG
57,1.295115,20160401,20160401T105022_20160401T105759_T30SXG,2015-2016,2016-04-01,2016-04-01 | 20160401T105022_20160401T105759_T30SXG,30SXG,NDWI_20160401_20160401T105022_20160401T105759_T30SXG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160401T105022_20160401T105759_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160401T105022_20160401T105759_T30SXG
58,1.295115,20160401,20160401T105022_20160401T105759_T30SXG,2015-2016,2016-04-01,2016-04-01 | 20160401T105022_20160401T105759_T30SXG,30SXG,NDDI_20160401_20160401T105022_20160401T105759_T30SXG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160401T105022_20160401T105759_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160401T105022_20160401T105759_T30SXG
59,1.295115,20160401,20160401T105022_20160401T105759_T30SXG,2015-2016,2016-04-01,2016-04-01 | 20160401T105022_20160401T105759_T30SXG,30SXG,RF_Risk_Map_20160401_20160401T105022_20160401T105759_T30SXG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160401T105022_20160401T105759_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160401T105022_20160401T105759_T30SXG
60,0.214989,20160401,20160401T105022_20160401T105759_T30SXF,2015-2016,2016-04-01,2016-04-01 | 20160401T105022_20160401T105759_T30SXF,30SXF,NDVI_20160401_20160401T105022_20160401T105759_T30SXF,Indexed for Python dashboard,NDVI,Sentinel-2A,20160401T105022_20160401T105759_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160401T105022_20160401T105759_T30SXF
61,0.214989,20160401,20160401T105022_20160401T105759_T30SXF,2015-2016,2016-04-01,2016-04-01 | 20160401T105022_20160401T105759_T30SXF,30SXF,NDWI_20160401_20160401T105022_20160401T105759_T30SXF,Indexed for Python dashboard,NDWI,Sentinel-2A,20160401T105022_20160401T105759_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160401T105022_20160401T105759_T30SXF
